week,joe,elizabeth,bernie,amy,pete
2015-04-26,1,1,12,1,1
2015-05-03,1,1,7,1,1
2015-05-10,1,2,4,1,1
2015-05-17,1,1,4,1,1
2015-05-24,1,1,7,1,1
2015-05-31,25,1,7,1,1
2015-06-07,4,1,5,1,1
2015-06-14,1,1,10,1,1
2015-06-21,2,1,9,1,1
2015-06-28,2,1,15,1,1
2015-07-05,1,1,14,1,1
2015-07-12,1,1,11,1,1
2015-07-19,2,1,12,1,1
2015-07-26,2,1,12,1,1
2015-08-02,5,2,14,1,1
2015-08-09,3,1,36,1,1
2015-08-16,3,1,19,1,1
2015-08-23,7,2,15,1,1
2015-08-30,5,1,17,1,1
2015-09-06,9,1,17,1,1
2015-09-13,5,1,26,1,1
2015-09-20,4,1,18,1,1
2015-09-27,3,1,13,1,1
2015-10-04,5,1,13,1,1
2015-10-11,7,1,41,1,1
2015-10-18,16,1,26,1,1
2015-10-25,3,1,15,1,1
2015-11-01,2,1,15,1,1
2015-11-08,2,1,15,1,1
2015-11-15,2,1,17,1,1
2015-11-22,1,1,11,1,1
2015-11-29,1,1,10,1,1
2015-12-06,1,1,14,1,1
2015-12-13,1,1,18,1,1
2015-12-20,2,1,20,1,1
2015-12-27,1,1,13,1,1
2016-01-03,1,1,14,1,1
2016-01-10,4,1,27,1,1
2016-01-17,2,1,44,1,1
2016-01-24,2,1,43,1,1
2016-01-31,2,2,81,1,1
2016-02-07,2,2,96,1,1
2016-02-14,2,2,53,1,1
2016-02-21,2,1,55,1,1
2016-02-28,3,2,72,1,1
2016-03-06,2,2,85,1,1
2016-03-13,2,2,77,1,1
2016-03-20,2,3,56,1,1
2016-03-27,2,2,68,1,1
2016-04-03,2,1,67,1,1
2016-04-10,1,1,62,1,1
2016-04-17,2,2,57,1,1
2016-04-24,2,1,37,1,1
2016-05-01,2,3,44,1,1
2016-05-08,2,4,38,1,1
2016-05-15,2,2,38,1,1
2016-05-22,2,5,40,1,1
2016-05-29,2,2,33,1,1
2016-06-05,3,11,65,1,1
2016-06-12,2,4,25,1,1
2016-06-19,1,3,16,1,1
2016-06-26,2,8,12,1,1
2016-07-03,2,2,12,1,1
2016-07-10,2,2,20,1,1
2016-07-17,3,3,12,1,1
2016-07-24,11,9,54,1,1
2016-07-31,3,1,9,1,1
2016-08-07,1,1,7,1,1
2016-08-14,3,1,4,1,1
2016-08-21,2,1,4,1,1
2016-08-28,2,1,4,1,1
2016-09-04,2,1,4,1,1
2016-09-11,2,1,6,1,1
2016-09-18,2,4,4,1,1
2016-09-25,3,2,7,1,1
2016-10-02,3,1,6,1,1
2016-10-09,2,1,9,1,1
2016-10-16,4,1,8,1,1
2016-10-23,5,3,6,1,1
2016-10-30,3,1,8,1,1
2016-11-06,12,7,31,1,1
2016-11-13,42,3,14,1,1
2016-11-20,11,2,6,1,1
2016-11-27,3,1,5,1,1
2016-12-04,8,1,4,1,1
2016-12-11,3,1,4,1,1
2016-12-18,3,1,4,1,1
2016-12-25,2,1,3,1,1
2017-01-01,3,1,5,1,1
2017-01-08,23,2,5,1,1
2017-01-15,13,6,8,1,1
2017-01-22,5,4,7,1,1
2017-01-29,3,3,5,1,1
2017-02-05,3,18,10,1,1
2017-02-12,2,4,5,1,1
2017-02-19,2,1,4,1,1
2017-02-26,6,2,5,1,1
2017-03-05,2,1,3,1,1
2017-03-12,2,1,5,1,1
2017-03-19,2,1,4,1,1
2017-03-26,2,1,4,1,1
2017-04-02,2,1,4,1,1
2017-04-09,1,1,3,1,1
2017-04-16,1,3,4,1,1
2017-04-23,2,3,4,1,1
2017-04-30,3,2,3,1,1
2017-05-07,2,1,3,1,1
2017-05-14,2,1,4,1,1
2017-05-21,2,1,3,1,1
2017-05-28,2,1,3,1,1
2017-06-04,2,1,4,1,1
2017-06-11,2,1,6,1,1
2017-06-18,1,1,4,1,1
2017-06-25,2,1,7,1,1
2017-07-02,1,1,3,1,1
2017-07-09,1,1,3,1,1
2017-07-16,2,1,3,1,1
2017-07-23,2,1,3,1,1
2017-07-30,2,1,3,1,1
2017-08-06,1,1,2,1,1
2017-08-13,1,1,3,1,1
2017-08-20,1,1,2,1,1
2017-08-27,2,1,2,1,1
2017-09-03,1,1,3,1,1
2017-09-10,1,1,4,1,1
2017-09-17,1,1,3,1,1
2017-09-24,2,1,3,1,1
2017-10-01,2,1,3,1,1
2017-10-08,1,1,2,1,1
2017-10-15,2,1,4,1,1
2017-10-22,2,1,3,1,1
2017-10-29,1,2,4,1,1
2017-11-05,3,1,3,1,1
2017-11-12,9,1,3,1,1
2017-11-19,5,1,2,1,1
2017-11-26,2,10,3,1,1
2017-12-03,2,1,3,1,1
2017-12-10,5,1,3,1,1
2017-12-17,2,1,3,1,1
2017-12-24,2,1,2,1,1
2017-12-31,2,1,2,1,1
2018-01-07,2,1,2,1,1
2018-01-14,2,1,2,1,1
2018-01-21,2,1,3,1,1
2018-01-28,2,1,3,1,1
2018-02-04,3,1,2,1,1
2018-02-11,2,1,2,1,1
2018-02-18,2,1,2,1,1
2018-02-25,1,1,2,1,1
2018-03-04,2,1,2,1,1
2018-03-11,2,2,2,1,1
2018-03-18,10,1,2,1,1
2018-03-25,3,1,2,1,1
2018-04-01,2,1,2,1,1
2018-04-08,1,1,2,1,1
2018-04-15,2,1,2,1,1
2018-04-22,1,1,2,1,1
2018-04-29,1,1,2,1,1
2018-05-06,2,1,2,1,1
2018-05-13,1,1,2,1,1
2018-05-20,1,1,2,1,1
2018-05-27,1,1,2,1,1
